Date|Symbol|ShortVolume|ShortExemptVolume|TotalVolume|Market
20210127|GGTpG|290|0|290|Q,N
20210127|GGZ|3189|0|8928|Q,N
20210127|GGZpA|2|0|2|Q
20210127|GH|256030|210|557507|B,Q,N
20210127|GHC|4609|0|7487|Q,N
20210127|GHG|7604|0|10132|B,Q,N
20210127|GHL|53819|0|72883|Q,N
20210127|GHLD|25345|0|35943|Q,N
20210127|GHM|6960|0|10713|Q,N
20210127|GHSI|3317819|357806|13335634|Q,N
20210127|GHVIU|56725|0|77468|Q
20210127|GHY|18299|0|48812|Q,N
20210127|GHYB|2055|0|13197|Q,N
20210127|GHYG|2719|0|5539|Q
20210127|GIB|26169|0|52265|B,Q,N
20210127|GIFI|4535|0|23890|Q,N
20210127|GIGB|16573|0|36913|Q,N
20210127|GIGE|7369|0|17009|B,Q,N
20210127|GIGM|25059|100|66714|Q,N
20210127|GII|4261|0|13106|B,Q,N
20210127|GIII|78627|5|200256|B,Q,N
20210127|GIK|541705|7634|1344984|B,Q,N
20210127|GIK/U|104|0|519|Q,N
20210127|GIK/WS|64613|495|211781|Q,N
20210127|GIL|112777|0|286805|Q,N
20210127|GILD|552183|3081|2780641|B,Q,N
20210127|GILT|479965|20690|1742803|B,Q,N
20210127|GIM|177886|3459|306748|Q,N
20210127|GINN|447761|0|454742|B,Q,N
20210127|GIS|810174|1921|1895497|B,Q,N
20210127|GIX|272858|410|767055|B,Q,N
20210127|GIX/U|75|0|401|Q
20210127|GIX/WS|94912|51|169624|Q,N
20210127|GKOS|170717|0|263319|Q,N
20210127|GL|57248|0|97115|B,Q,N
20210127|GLAD|25523|0|83170|B,Q,N
20210127|GLAQU|100|0|3899|Q
20210127|GLBS|512493|18608|1596113|B,Q,N
20210127|GLBZ|7|0|18|Q
20210127|GLCN|1035|0|3935|Q
20210127|GLD|719425|10243|2897392|B,Q,N
20210127|GLDD|115663|800|174333|B,Q,N
20210127|GLDG|133088|65|258045|B,Q,N
20210127|GLDI|10292|0|26700|Q,N
20210127|GLDM|491420|0|659832|B,Q,N
20210127|GLEO|150|0|28420|Q
20210127|GLEO/WS|540|0|8102|Q,N
20210127|GLG|17780|0|239666|Q,N
20210127|GLIN|37|0|3728|B,Q
20210127|GLL|7056|400|21977|Q,N
20210127|GLMD|53277|6400|133900|Q,N
20210127|GLNG|155101|0|793112|B,Q,N
20210127|GLO|60395|8|135018|Q,N
20210127|GLOB|25216|0|60226|B,Q,N
20210127|GLOG|953039|314290|1883325|B,Q,N
20210127|GLOGpA|2200|0|3306|Q
20210127|GLOP|189502|22449|277181|B,Q,N
20210127|GLOPpA|2120|0|9159|Q,N
20210127|GLOPpB|3370|0|9296|B,Q,N
20210127|GLOPpC|1297|300|2659|Q,N
20210127|GLP|16104|0|69068|Q,N
20210127|GLPG|68709|1600|174000|Q,N
20210127|GLPI|186074|0|784618|Q,N
20210127|GLPpA|1850|0|5529|Q,N
20210127|GLQ|30161|0|48960|Q,N
20210127|GLRE|6863|0|27777|B,Q
20210127|GLRY|1382|0|4206|Q,N
20210127|GLSI|40013|625|96780|B,Q,N
20210127|GLT|20495|0|28623|B,Q,N
20210127|GLTO|1060|0|4110|Q,N
20210127|GLTR|14446|0|43751|Q,N
20210127|GLU|1105|0|7954|Q
20210127|GLUU|330152|435|1477151|B,Q,N
20210127|GLV|17847|0|24171|Q,N
20210127|GLW|845861|2035|2398470|B,Q,N
20210127|GLYC|44388|0|269084|Q,N
20210127|GLpC|2609|0|5226|Q,N
20210127|GM|2718963|40591|12792479|B,Q,N
20210127|GMAB|85013|426|407257|B,Q,N
20210127|GMBL|33145|11475|327055|Q,N
20210127|GMBLW|4025|500|5084|Q,N
20210127|GMBTU|30585|0|152091|Q,N
20210127|GMDA|134004|132|294223|B,Q,N
20210127|GME|15692871|161898|28687984|B,Q,N
20210127|GMED|55190|0|149338|B,Q,N
20210127|GMF|12875|0|19811|Q,N
20210127|GMIIU|27642|0|530286|B,Q,N
20210127|GMLP|46372|59|394970|B,Q,N
20210127|GMLPP|9004|0|13939|Q,N
20210127|GMOM|22|0|3148|B,Q
20210127|GMRE|97724|573|255301|B,Q,N
20210127|GMREpA|248|0|2248|Q
20210127|GMS|29960|1|227001|B,Q,N
20210127|GMTA|1173|0|5533|Q,N
20210127|GNACU|13383|0|93613|B,Q,N
20210127|GNAF|1535|0|2035|Q
20210127|GNCA|66557|537|385613|B,Q,N
20210127|GNE|20036|400|35217|Q,N
20210127|GNEpA|3021|0|3983|Q,N
20210127|GNFT|1263|0|3553|Q
20210127|GNK|86869|600|319841|Q,N
20210127|GNL|64860|1135|134668|B,Q,N
20210127|GNLN|132091|21710|406323|B,Q,N
20210127|GNLpA|591|0|2498|Q
20210127|GNLpB|2946|0|4888|Q,N
20210127|GNMA|5718|0|24484|Q,N
20210127|GNMK|277410|338|476828|Q,N
20210127|GNOG|437468|7790|1870551|B,Q,N
20210127|GNOGW|57940|7376|107378|Q,N
20210127|GNOM|52707|0|143821|B,Q,N
20210127|GNPK|122403|0|239564|B,Q,N
20210127|GNPK/U|500|0|19890|Q
20210127|GNPK/WS|6112|0|9268|Q
20210127|GNPX|268193|8009|903813|B,Q,N
20210127|GNR|14545|0|36293|Q,N
20210127|GNRC|91175|0|338647|B,Q,N
20210127|GNRS|121318|6221|305755|B,Q,N
20210127|GNRSU|4750|300|31194|Q,N
20210127|GNRSW|141033|26729|329780|Q,N
20210127|GNSS|27509|0|124251|Q,N
20210127|GNT|12600|130|29212|Q,N
20210127|GNTX|215110|300|666099|B,Q,N
20210127|GNTY|8598|0|9423|Q,N
20210127|GNTpA|111|0|111|Q
20210127|GNUS|65309486|993376|113369156|B,Q,N
20210127|GNW|1594457|84053|5853168|B,Q,N
20210127|GO|548667|631|1056027|B,Q,N
20210127|GOAC|34645|0|377985|B,Q,N
20210127|GOAC/U|1312|0|6846|Q
20210127|GOAC/WS|4479|527|10684|Q,N
20210127|GOAT|1136|0|1153|Q,N
20210127|GOAU|8206|0|81174|Q,N
20210127|GOCO|216430|30904|634188|B,Q,N
20210127|GOED|77771|6027|235839|B,Q,N
20210127|GOEV|593449|52898|2310713|B,Q,N
20210127|GOEVW|62398|7731|167407|Q,N
20210127|GOEX|6536|0|16302|Q,N
20210127|GOF|74362|2711|166527|B,Q,N
20210127|GOGL|73892|3|189358|B,Q,N
20210127|GOGO|3413808|8021|6526985|B,Q,N
20210127|GOL|189782|5412|361770|Q,N
20210127|GOLD|2628529|15761|9711882|B,Q,N
20210127|GOLF|33069|0|59482|B,Q,N
20210127|GOOD|51895|2400|76263|B,Q,N
20210127|GOODN|6349|0|9805|Q,N
20210127|GOOG|328511|1350|635120|B,Q,N
20210127|GOOGL|172152|2206|1101295|B,Q,N
20210127|GOOS|370941|1300|1228692|B,Q,N
20210127|GORO|503565|0|974527|B,Q,N
20210127|GOSS|86015|0|196693|B,Q,N
20210127|GOVT|4091554|608|4804305|Q,N
20210127|GOVX|112573|3754|495846|Q,N
20210127|GOVXW|5150|3700|5651|Q
20210127|GOVZ|2988|0|3388|Q,N
20210127|GP|47457|307|274754|B,Q,N
20210127|GPACU|21666|0|107146|Q,N
20210127|GPC|164390|164|336727|B,Q,N
20210127|GPI|57556|6077|95384|B,Q,N
20210127|GPJA|1842|0|2811|Q,N
20210127|GPK|778615|0|2207541|Q,N
20210127|GPL|846877|20|1475565|B,Q,N
